variable,grp,avg_time,avg_amp,avg_duration,n_durations,solution
E,-1238,-1.2375025333333334e6,1.5303836628195029,406.93333333334886,3,ZB23.R01
E,-1239,-1.2385196e6,1.5056781758662046,406.79999999993015,2,ZB23.R01
E,-1240,-1.2395371333333335e6,1.4858563424007791,407.06666666672874,3,ZB23.R01
E,-1241,-1.2405544e6,1.4962641073683638,406.79999999993015,2,ZB23.R01
E,-1242,-1.2415717333333334e6,1.4989580943554917,407.200000000031,3,ZB23.R01
E,-1243,-1.2425905e6,1.4971307762978445,407.79999999993015,2,ZB23.R01
E,-1244,-1.2434055e6,1.5148183749656883,407.0,2,ZB23.R01
E,-1245,-1.244422e6,1.5234837605055447,406.4000000000621,3,ZB23.R01
E,-1246,-1.2454386e6,1.4976433276780408,407.19999999995343,2,ZB23.R01
E,-1247,-1.2464583333333333e6,1.5238393473456353,408.1333333333023,3,ZB23.R01
E,-1248,-1.2474774e6,1.610549793612678,406.80000000004657,2,ZB23.R01
E,-1249,-1.2484918e6,1.5082073839464663,404.93333333334886,3,ZB23.R01
E,-1250,-1.2495028e6,1.050006265673321,404.0,2,ZB23.R01
e,-1201,-1.20053748e6,1.2362100652312846,94.95999999998602,10,ZB23.R01
e,-1202,-1.20151326e6,0.9284743604999365,103.0,10,ZB23.R01
e,-1203,-1.20252044e6,1.0194504762665546,95.91999999999534,10,ZB23.R01
e,-1204,-1.20350422e6,0.9702987942186665,103.08000000000466,10,ZB23.R01
e,-1205,-1.2045052600000002e6,1.3431294366394362,94.6,10,ZB23.R01
e,-1206,-1.2054858e6,0.8010494249731002,103.44000000001397,10,ZB23.R01
e,-1207,-1.2064965999999999e6,1.3147554110350936,97.11999999999534,10,ZB23.R01
e,-1208,-1.20746418e6,0.9303203692120899,100.43999999999069,10,ZB23.R01
e,-1209,-1.20848254e6,1.209503941361231,99.24000000001396,10,ZB23.R01
e,-1210,-1.2094562399999998e6,0.9334692845982193,97.43999999999069,10,ZB23.R01
e,-1211,-1.21045806e6,1.2761150312017664,100.28000000000466,10,ZB23.R01
e,-1212,-1.2114926363636365e6,0.6876081766400497,99.6727272727188,11,ZB23.R01
e,-1213,-1.2125431800000002e6,1.546531423421642,98.76000000000931,10,ZB23.R01
e,-1214,-1.2135209e6,0.7399858679038664,98.03999999999068,10,ZB23.R01
e,-1215,-1.21452674e6,1.332010206170322,101.0,10,ZB23.R01
e,-1216,-1.21551214e6,0.7671390657360478,97.8,10,ZB23.R01
e,-1217,-1.2165030800000003e6,1.4254681438398453,98.56000000000931,10,ZB23.R01
e,-1218,-1.2174939600000002e6,0.6538251683952581,100.08000000000466,10,ZB23.R01
e,-1219,-1.2184879600000002e6,1.341779069532579,97.11999999999534,10,ZB23.R01
e,-1220,-1.21947388e6,0.7772207992923561,101.83999999999068,10,ZB23.R01
e,-1221,-1.2205165272727273e6,1.1980262762973426,97.27272727272727,11,ZB23.R01
e,-1222,-1.2215127333333334e6,0.7561011906567197,102.71111111112663,9,ZB23.R01
e,-1223,-1.2224930181818183e6,1.2749086705855592,94.83636363635941,11,ZB23.R01
e,-1224,-1.223490688888889e6,0.6829300696657002,104.13333333332815,9,ZB23.R01
e,-1225,-1.2244767454545456e6,1.3108551194752491,94.36363636363636,11,ZB23.R01
e,-1226,-1.2255218e6,0.8686140189896921,103.36000000000931,10,ZB23.R01
e,-1227,-1.2265055799999998e6,0.9826288706454571,95.4,10,ZB23.R01
e,-1228,-1.2275091800000002e6,0.973873023630784,102.43999999999069,10,ZB23.R01
e,-1229,-1.22848392e6,1.1858178523015934,96.31999999999535,10,ZB23.R01
e,-1230,-1.2294865399999998e6,0.8815636489679448,101.24000000001396,10,ZB23.R01
e,-1231,-1.23047188e6,1.0825972401640658,97.6,10,ZB23.R01
e,-1232,-1.2314733800000001e6,1.0581341672877709,98.6,10,ZB23.R01
e,-1233,-1.2324441199999999e6,1.145662176991377,101.67999999998138,10,ZB23.R01
e,-1234,-1.233506290909091e6,1.0612776776636776,97.60000000000846,11,ZB23.R01
e,-1235,-1.2345205999999999e6,1.0347445209052186,99.03999999999068,10,ZB23.R01
e,-1236,-1.23553284e6,1.0005530535878937,98.48000000000465,10,ZB23.R01
e,-1237,-1.2365034600000002e6,1.0762108696107067,102.04000000001398,10,ZB23.R01
e,-1238,-1.2375078199999998e6,1.0290794433838573,94.51999999999535,10,ZB23.R01
e,-1239,-1.2384858199999998e6,0.8947034353398511,103.63999999999069,10,ZB23.R01
e,-1240,-1.2394928e6,1.2340147771604755,94.16000000000932,10,ZB23.R01
e,-1241,-1.240426088888889e6,1.1752833188810254,113.33333333333333,9,ZB23.R01
e,-1242,-1.2414742000000002e6,1.1101674831708999,99.68000000000465,10,ZB23.R01
e,-1243,-1.2424443200000003e6,1.0877467542172132,97.75999999998604,10,ZB23.R01
e,-1244,-1.2434945818181818e6,1.1981689692570627,97.96363636364482,11,ZB23.R01
e,-1245,-1.2445247399999998e6,0.7561655458759631,101.31999999999535,10,ZB23.R01
e,-1246,-1.2455248000000003e6,1.3625613757645856,97.76000000000931,10,ZB23.R01
e,-1247,-1.24650446e6,0.7511406803000332,98.67999999998138,10,ZB23.R01
e,-1248,-1.24750056e6,1.2848977586725416,99.52000000001863,10,ZB23.R01
e,-1249,-1.2484924222222222e6,0.8048689315096667,109.1999999999793,9,ZB23.R01
e,-1250,-1.2494769999999998e6,1.4715374977366538,98.0,10,ZB23.R01
