variable,mean,lwr,upr,n_rows,total_durations,lwr_ci,upr_ci
E,404.74962962962843,395.5099999999802,412.15,315,714,9.23962962964822,7.400370370371547
e,97.95951418951424,91.97818181818054,112.59749999999912,315,3153,5.981332371333693,14.637985810484878
o1,23.384576983248067,23.284285714286046,23.457142857141747,315,13410,0.10029126896202101,0.07256587389368008
o12,20.616566225168494,20.292653061226915,21.091666666665454,315,15216,0.32391316394157954,0.4751004414969593
o2,20.555452988625348,20.22857142857048,20.719362244897297,315,15264,0.32688156005486846,0.16390925627194974
o3,17.183268743975024,16.949152542372882,17.43859649122807,315,18272,0.23411620160214142,0.25532774725304463
p,14.074755730743375,13.3159495495497,14.659705882353421,315,22333,0.758806181193675,0.5849501516100464
p1,14.851904780915815,14.479470588233905,15.116060606061806,315,21156,0.3724341926819097,0.26415582514599123
p2,13.040594832847521,12.966233766235128,13.131578947368421,315,24097,0.0743610666123935,0.09098411452090005
