variable,mean,lwr,upr,n_rows,total_durations,lwr_ci,upr_ci
E,405.67746031746077,395.3333333333333,414.8550000000338,3150,7701,10.344126984127456,9.177539682573013
e,97.71809555876249,92.14545454546301,109.07177777779219,3150,32222,5.572641013299474,11.353682219029707
o1,23.20118276260474,23.004651162789614,23.404651162788532,3150,135713,0.19653159981512758,0.20346840018379098
o12,20.48758832465259,20.19591836734884,21.009552304962316,3150,153699,0.29166995730375334,0.5219639803097245
o2,20.419128648206296,20.03200000000186,20.658333333331758,3150,154215,0.3871286482044347,0.23920468512546122
o3,17.131542589443306,16.854237288136876,17.386206896550117,3150,183826,0.2773053013064306,0.2546643071068111
p,14.106877977180515,13.29600000000163,14.711764705880983,3150,223365,0.810877977178885,0.6048867287004676
p1,14.8171885071534,14.440000000000666,15.077435897435704,3150,212567,0.37718850715273433,0.2602473902823039
p2,12.980551692139679,12.871794871794872,13.105263157894736,3150,242613,0.10875682034480683,0.1247114657550572
