variable,grp,avg_time,avg_amp,avg_duration,n_durations,solution
E,-1201,-1.2006881e6,1.1300293763174047,406.19999999995343,2,ZB23.R01
E,-1202,-1.2015008e6,1.5308453513758549,406.4000000000233,2,ZB23.R01
E,-1203,-1.2025171333333333e6,1.7065633728823772,406.5333333333644,3,ZB23.R01
E,-1204,-1.2035326e6,1.5111123932581965,405.5999999999767,2,ZB23.R01
E,-1205,-1.2043427e6,1.0872790739065497,404.5999999999767,2,ZB23.R01
e,-1201,-1.2005375e6,1.2265795575249436,94.91999999999534,10,ZB23.R01
e,-1202,-1.20151322e6,0.9209595327747782,103.0,10,ZB23.R01
e,-1203,-1.20252044e6,1.0110182871665463,95.91999999999534,10,ZB23.R01
e,-1204,-1.20350422e6,0.9620658393493869,103.08000000000466,10,ZB23.R01
e,-1205,-1.204457111111111e6,1.3839034856687844,96.71111111112663,9,ZB23.R01
o1,-1201,-1.2004979428571428e6,0.4624577342019891,23.447619047620158,42,ZB23.R01
o1,-1202,-1.2014936837209305e6,0.47888135102103235,23.423255813952405,43,ZB23.R01
o1,-1203,-1.202500758139535e6,0.4846920289637955,23.413953488373178,43,ZB23.R01
o1,-1204,-1.2035073906976746e6,0.4813937900271617,23.413953488373178,43,ZB23.R01
o1,-1205,-1.2045021523809524e6,0.4767942079253735,23.4095238095227,42,ZB23.R01
o12,-1201,-1.2004967208333334e6,1.5626596928774765,20.591666666664725,48,ZB23.R01
o12,-1202,-1.2014967551020412e6,1.5613182222393749,20.53061224489796,49,ZB23.R01
o12,-1203,-1.2025059234042554e6,1.1093082475786222,21.106382978723403,47,ZB23.R01
o12,-1204,-1.2034981755102042e6,1.3596164708085532,20.62857142857238,49,ZB23.R01
o12,-1205,-1.2044953499999999e6,1.4755311447241464,20.633333333336243,48,ZB23.R01
o2,-1201,-1.2004967916666667e6,1.5772213757670004,20.60000000000097,48,ZB23.R01
o2,-1202,-1.2014967387755103e6,1.585364129840431,20.514285714284764,49,ZB23.R01
o2,-1203,-1.2024980041666664e6,1.0717995348658054,20.67500000000291,48,ZB23.R01
o2,-1204,-1.2034982408163266e6,1.3539736353834748,20.612244897959183,49,ZB23.R01
o2,-1205,-1.2044953958333333e6,1.4727740740337893,20.625,48,ZB23.R01
o3,-1201,-1.200503445614035e6,0.5832603060514673,17.319298245617304,57,ZB23.R01
o3,-1202,-1.201498651724138e6,0.5568773205587231,17.31724137930874,58,ZB23.R01
o3,-1203,-1.2025028172413788e6,0.5616818549868514,17.289655172414594,58,ZB23.R01
o3,-1204,-1.203505403448276e6,0.5328849821859167,17.30344827585966,58,ZB23.R01
o3,-1205,-1.2044998701754385e6,0.5597691354527092,17.228070175438596,57,ZB23.R01
p,-1201,-1.2005056885714289e6,1.352728279438363,14.062857142855812,70,ZB23.R01
p,-1202,-1.2014938171428572e6,1.4869777109895215,14.377142857141527,70,ZB23.R01
p,-1203,-1.2025010138888888e6,1.2905554196622948,13.872222222222868,72,ZB23.R01
p,-1204,-1.203503144927536e6,1.4681318253546012,14.591304347826762,69,ZB23.R01
p,-1205,-1.2044984695652172e6,1.4807090821704967,14.23768115941894,69,ZB23.R01
p1,-1201,-1.200500255882353e6,1.160406801314592,14.476470588233925,68,ZB23.R01
p1,-1202,-1.2014937499999998e6,1.484300242528244,14.805882352941861,68,ZB23.R01
p1,-1203,-1.2025055470588235e6,1.23413354617949,14.694117647058139,68,ZB23.R01
p1,-1204,-1.2034996352941177e6,1.4660831225426154,14.800000000002054,68,ZB23.R01
p1,-1205,-1.2045040656716416e6,1.2624104274347125,14.686567164179104,67,ZB23.R01
p2,-1201,-1.2004994999999998e6,0.8266056238276437,13.063157894737454,76,ZB23.R01
p2,-1202,-1.2014987740259743e6,0.6105930639018755,13.111688311689521,77,ZB23.R01
p2,-1203,-1.2025022447368426e6,0.7055084625703874,13.078947368421053,76,ZB23.R01
p2,-1204,-1.2034956710526312e6,0.5673022024186113,13.110526315788249,76,ZB23.R01
p2,-1205,-1.2044976233766233e6,0.902833059607444,13.04415584415766,77,ZB23.R01
E,-1201,-1.2005281e6,0.7133655415243618,401.4000000000233,2,ZB23.R02
E,-1202,-1.2015327333333334e6,0.9903276886994887,402.2666666666046,3,ZB23.R02
E,-1203,-1.2025398e6,1.0870055436402657,403.60000000009313,2,ZB23.R02
E,-1204,-1.203549133333333e6,1.002985499495449,403.5999999999379,3,ZB23.R02
E,-1205,-1.2045576e6,0.7129768726974106,403.20000000006985,2,ZB23.R02
e,-1201,-1.2004958e6,1.661600817767925,98.16000000000932,10,ZB23.R02
e,-1202,-1.2014872000000002e6,0.9311781261147769,91.85454545453699,11,ZB23.R02
e,-1203,-1.2024807799999998e6,1.8693976098718779,97.31999999999535,10,ZB23.R02
e,-1204,-1.203480236363636e6,0.9768826768888453,91.74545454545031,11,ZB23.R02
e,-1205,-1.2044608e6,1.6117570698404386,96.96000000000932,10,ZB23.R02
o1,-1201,-1.2005041627906978e6,0.32576148477021777,23.358139534881555,43,ZB23.R02
o1,-1202,-1.2015092976744184e6,0.3142287304597911,23.376744186050843,43,ZB23.R02
o1,-1203,-1.202502280952381e6,0.31895470622494704,23.361904761903652,42,ZB23.R02
o1,-1204,-1.2034952372093021e6,0.31879248021958195,23.3674418604662,43,ZB23.R02
o1,-1205,-1.2044875142857144e6,0.31756629945936393,23.314285714284605,42,ZB23.R02
o12,-1201,-1.2005003749999995e6,1.3583251473215838,20.683333333334303,48,ZB23.R02
o12,-1202,-1.201499367346939e6,1.8614035526766648,20.514285714284764,49,ZB23.R02
o12,-1203,-1.2024991791666667e6,1.5566860919309375,20.67499999999806,48,ZB23.R02
o12,-1204,-1.203499293877551e6,1.816784592556178,20.514285714284764,49,ZB23.R02
o12,-1205,-1.2044966125e6,1.2590913473192413,20.658333333335275,48,ZB23.R02
o2,-1201,-1.2005003125000002e6,1.3368977911211468,20.641666666667636,48,ZB23.R02
o2,-1202,-1.2014993346938775e6,1.9117628052493358,20.514285714284764,49,ZB23.R02
o2,-1203,-1.2024991791666667e6,1.567124637814598,20.691666666670546,48,ZB23.R02
o2,-1204,-1.2034992653061224e6,1.86916576164724,20.50612244897579,49,ZB23.R02
o2,-1205,-1.204496529166667e6,1.2357010263956594,20.625,48,ZB23.R02
o3,-1201,-1.200506072413793e6,0.27415396389190627,17.303448275863676,58,ZB23.R02
o3,-1202,-1.2015038105263158e6,0.27353374650924883,17.333333333333332,57,ZB23.R02
o3,-1203,-1.202496105084746e6,0.2500503858711107,17.03728813559243,59,ZB23.R02
o3,-1204,-1.203500440677966e6,0.25497981446389156,17.071186440677177,59,ZB23.R02
o3,-1205,-1.204503189473684e6,0.2635244679885972,17.228070175438596,57,ZB23.R02
p,-1201,-1.2005044450704232e6,1.5292929234724728,13.971830985915492,71,ZB23.R02
p,-1202,-1.2015067514285718e6,1.1244353588105618,14.23428571428771,70,ZB23.R02
p,-1203,-1.202503816216217e6,1.58841926032473,13.578378378375861,74,ZB23.R02
p,-1204,-1.2034985257142854e6,1.229795894448757,14.217142857145518,70,ZB23.R02
p,-1205,-1.204492569014085e6,1.4860693248697208,13.971830985915492,71,ZB23.R02
p1,-1201,-1.2005086597014926e6,1.2692862823912405,14.80000000000139,67,ZB23.R02
p1,-1202,-1.201500405970149e6,1.0917589909101435,14.877611940295727,67,ZB23.R02
p1,-1203,-1.2025011910447765e6,1.2294323832563214,15.014925373134329,67,ZB23.R02
p1,-1204,-1.2035024029850748e6,1.145107942668361,14.87164179104686,67,ZB23.R02
p1,-1205,-1.2044939164179103e6,1.2056603675373352,14.782089552237416,67,ZB23.R02
p2,-1201,-1.2005042736842104e6,1.1202991187138145,13.042105263160346,76,ZB23.R02
p2,-1202,-1.2014978077922068e6,0.5735353605719223,12.95584415584234,77,ZB23.R02
p2,-1203,-1.2024984051948057e6,1.3656890232996137,13.018181818183633,77,ZB23.R02
p2,-1204,-1.2034964894736838e6,0.6675941753587225,13.11578947368176,76,ZB23.R02
p2,-1205,-1.204491068421053e6,1.1072325433062034,13.031578947370258,76,ZB23.R02
E,-1201,-1.2004549e6,0.984657591058056,405.0,2,ZB23.R03
E,-1202,-1.201471e6,1.3295048996473822,407.8666666666977,3,ZB23.R03
E,-1203,-1.2024937000000002e6,1.4247065224912698,410.19999999995343,2,ZB23.R03
